id,device,timestamp,mAccuracy,mAltitude,mBearing,mElapsedRealtimeNanos,mExtras_networkLocationType,mExtras_nlpVersion,mExtras_noGPSLocation_mAccuracy,mExtras_noGPSLocation_mAltitude,mExtras_noGPSLocation_mBearing,mExtras_noGPSLocation_mElapsedRealtimeNanos,mExtras_noGPSLocation_mExtras_networkLocationType,mExtras_noGPSLocation_mExtras_nlpVersion,mExtras_noGPSLocation_mExtras_travelState,mExtras_noGPSLocation_mExtras_wifiScan,mExtras_noGPSLocation_mHasAccuracy,mExtras_noGPSLocation_mHasAltitude,mExtras_noGPSLocation_mHasBearing,mExtras_noGPSLocation_mHasSpeed,mExtras_noGPSLocation_mIsFromMockProvider,mExtras_noGPSLocation_mLatitude,mExtras_noGPSLocation_mLongitude,mExtras_noGPSLocation_mProvider,mExtras_noGPSLocation_mSpeed,mExtras_noGPSLocation_mTime,mExtras_satellites,mExtras_travelState,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mIsFromMockProvider,mLatitude,mLongitude,mProvider,mSpeed,mTime,timestamp
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,24,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-65,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-55,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,34,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-70,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-49,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,24,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-65,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-55,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,34,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-72,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-69,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,76,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,9,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-44,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,78,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-15,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,86,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-76,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,36,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,101,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,17,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,15,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-89,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,30,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-87,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,36,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,101,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,17,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,114,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-113,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-71,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-85,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-60,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,39,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-107,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-68,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-104,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-6,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-89,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-12,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,85,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-100,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-106,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-7,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-14,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-89,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,100,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-47,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-93,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,7,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-100,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-88,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,24,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
64e6d333-e746-42bc-b4e2-c8e3e3854b12-2079,9416d62f-9e61-48b2-b55b-68c878fa3f17,1435141902.625,12.0,98.69999694824219,0.0,51045300354687,,,20.173,0.0,0.0,50902362000000,wifi,2016,stationary,-125,True,False,False,False,False,51.2555828,6.807896,network,0.0,1435141759667,7,,True,True,False,True,False,51.25523144,6.8083728,gps,0.0,1435141904000,1435141902.625
